,Unnamed: 0,date,title,cleaned title
0,0,2021-12-01,"Genoa Vs AC Milan, Shevchenko Ingin Buat Mantan Klub Kesulitan",genoa vs ac mil shevchenko ingin buat mantan klub sulit
1,1,2021-12-01,ODHA di Depok Masih Dapat Stigma Negatif,odha di depok masih dapat stigma negatif
2,2,2021-12-01,Pemprov Jakarta Bentuk Tim Khusus Awasi Alat Makan Bahan Melamin Tak Ber-SNI,pemprov jakarta bentuk tim khusus awas alat makan bahan melamin tak bersni
3,3,2021-12-01,Penonton Lokal Piala AFF 2020 Acuhkan 5 Aturan Ini,tonton lokal piala aff acuh atur ini
4,4,2021-12-01,"Pada Akhir Pekan, Penumpang di Bandara Soekarno-Hatta Capai 90.000 Orang",pada akhir pekan tumpang di bandara soekarnohatta capai orang
5,5,2021-12-01,"PPKM Level 2, Regulasi PTM di Jakarta Barat Tidak Berubah",ppkm level regulasi ptm di jakarta barat tidak ubah
6,6,2021-12-01,"Link Live Streaming Bologna Vs Roma, Kick-off Pukul 00.30 WIB",link live streaming bologna vs roma kickoff pukul wib
7,7,2021-12-01,"Singgung Varian Corona Omicron, Menlu Ungkap 4 Agenda RI Wujudkan Visi 2045",singgung varian corona omicron menlu ungkap agenda ri wujud visi
8,8,2021-12-01,"Real Madrid Vs Athletic Bilbao, Singa Basque Wajib Waspadai Benzema",real madrid vs athletic bilbao singa basque wajib waspada benzema
9,9,2021-12-01,Pelatih Timnas China Akui Kesulitan lantaran Covid-19,latih timnas china aku sulit lantar covid
10,10,2021-12-01,"Mensos Ingatkan Guru Ajarkan Siswa Tak ""Bully"" Penyandang Disabilitas",mensos ingat guru ajar siswa tak bully sandang disabilitas
11,11,2021-12-01,"Link Live Streaming Inter Milan Vs Spezia, Kick-off Pukul 00.30 WIB",link live streaming inter mil vs spezia kickoff pukul wib
12,12,2021-12-01,Ragam Istilah Teknis pada AC yang Perlu Diketahui,ragam istilah teknis pada ac yang perlu tahu
13,13,2021-12-01,"Massa Reuni 212 Bakal Kumpul di Patung Kuda, Ini Respons Wagub DKI",massa reuni bakal kumpul di patung kuda ini respons wagub dki
14,14,2021-12-01,MyPertamina Fair 2021 Siap Manjakan Pelanggan Setia Pertamina,mypertamina fair siap manja langgan setia pertamina
15,15,2021-12-01,"Dugaan Korupsi Dana KONI Padang, Pengurus Cabor Minta Kejari Usut Aliran Dana",duga korupsi dana koni padang urus cabor minta kejar usut alir dana
16,16,2021-12-01,"Daftar 5 ""Veteran"" di Skuad Timnas Indonesia untuk Piala AFF 2020",daftar veteran di skuad timnas indonesia untuk piala aff
17,17,2021-12-01,Ambisi Guangzhou FC Raih Kali Kesembilan Juara Liga Super China,ambisi guangzhou fc raih kali sembilan juara liga super china
